@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'OVER / UNDER',1.73,210.02033
'OVER / UNDER',2.02,1632.933201
'MATCH ODDS',1.75,1768.998886
'ASIAN HANDICAP',1.76,748.984773
'OVER / UNDER',1.72,1766.707978
'ASIAN HANDICAP',1.91,1625.076007
'ASIAN HANDICAP',1.8,1085.215009
'ASIAN HANDICAP',1.73,1137.985376
'MATCH ODDS',1.85,1770.619829
'ASIAN HANDICAP',1.83,210.02033
'MATCH ODDS',1.97,1774.809767
'OVER / UNDER',1.76,1762.366223
'ASIAN HANDICAP',1.74,1936.278752
'OVER / UNDER',1.92,1755.120945
'MATCH ODDS',1.87,1771.073127
'MATCH ODDS',1.7,1766.022708
'ASIAN HANDICAP',1.84,1936.644488
'MATCH ODDS',1.83,1770.783127
'MATCH ODDS',1.83,1770.783127
'ASIAN HANDICAP',1.78,1973.996474
'OVER / UNDER',1.85,1754.95232
'ASIAN HANDICAP',2.04,2063.454589
'ASIAN HANDICAP',1.91,1988.5325
'ASIAN HANDICAP',1.9,1961.367365
'ASIAN HANDICAP',1.92,1956.75824
'OVER / UNDER',1.79,1751.951926
'OVER / UNDER',1.72,1749.969682
'ASIAN HANDICAP',1.75,1951.483992
'MATCH ODDS',1.91,1774.286217
'ASIAN HANDICAP',1.88,1994.971435
'MATCH ODDS',1.73,1765.4908
'ASIAN HANDICAP',1.75,210.02033
'MATCH ODDS',1.88,1771.073127
'MATCH ODDS',1.71,1765.861844
'MATCH ODDS',1.67,1763.553077
'ASIAN HANDICAP',1.94,2000.906942
'MATCH ODDS',1.72,414.16655
'MATCH ODDS',1.73,1765.4908
'ASIAN HANDICAP',1.89,1947.780274
'MATCH ODDS',1.71,1765.861844
'OVER / UNDER',1.97,1765.41493
'ASIAN HANDICAP',1.86,1936.70742
'MATCH ODDS',1.86,1770.687528
'OVER / UNDER',1.84,1771.695382
'OVER / UNDER',1.83,1771.869012
'ASIAN HANDICAP',1.8,1979.678222
'ASIAN HANDICAP',1.79,1973.996474
'ASIAN HANDICAP',1.74,1475.024784
'ASIAN HANDICAP',1.81,1137.985376
'ASIAN HANDICAP',1.81,1625.076007
'ASIAN HANDICAP',1.7,1967.167503
'MATCH ODDS',1.91,1774.286217
'MATCH ODDS',2,1768.300972
'OVER / UNDER',1.94,1783.825116
'OVER / UNDER',1.81,1769.122395
'MATCH ODDS',1.86,1770.687528
'ASIAN HANDICAP',1.8,1967.819209
'OVER / UNDER',1.67,241.763191
'MATCH ODDS',1.85,1770.619829
'ASIAN HANDICAP',1.85,1992.416897
'MATCH ODDS',1.68,1763.553077
'MATCH ODDS',1.83,1770.783127
'OVER / UNDER',1.96,1755.235967
'ASIAN HANDICAP',1.74,2016.667737
'MATCH ODDS',1.85,1770.619829
'ASIAN HANDICAP',1.9,2069.348438
'MATCH ODDS',1.7,1766.022708
'MATCH ODDS',1.8,1770.787666
'MATCH ODDS',2.02,748.984773
'MATCH ODDS',1.8,219.694724
'MATCH ODDS',1.8,1098.896498
'ASIAN HANDICAP',1.82,1082.92165
'ASIAN HANDICAP',1.75,1167.683914
'ASIAN HANDICAP',1.9,1738.678102
'OVER / UNDER',1.91,1632.933201
'MATCH ODDS',1.75,436.738858
'MATCH ODDS',1.67,1763.553077
'ASIAN HANDICAP',1.95,1988.948959
'MATCH ODDS',1.73,210.02033
'ASIAN HANDICAP',1.76,1988.924781
'OVER / UNDER',1.84,1754.957086
'MATCH ODDS',1.67,1763.553077
'MATCH ODDS',2.05,210.02033
