@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-2

@attribute Tipster {'Jorge Aragundy','Anton Ebdon','Daniel Larsen','Simeone Tassini','Chris Tomas','Christopher Silenos','Jeremy Price','Gabriel Elias','Jason Mills','Darijo Belic','Eduardo Borrero','Silvio Bonatti','Robert Volkan','Achille Piecheur','Ivan Kacic','Amar Sidran','Radek Kovar','Neil Baxter','Burke Ziobro','Sony Luiz','Hubert Tisci',Bettingspaintips,'Charlie Bryson','Eli Pickard','Rosario Barone',Knipser,'Aurelien Delon','Francesco Alinari','Frankie Geary','Owen Garth','Blake Foss','Rufus Rasco'}
@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric
@attribute Take numeric

@data
'Jorge Aragundy','ASIAN HANDICAP',2.74,1936.278752,100
'Anton Ebdon','OVER / UNDER',2.92,1755.120945,20
'Anton Ebdon','MATCH ODDS',1.87,1771.073127,20
'Anton Ebdon','MATCH ODDS',1.7,1766.022708,25
'Jorge Aragundy','ASIAN HANDICAP',2.84,1936.644488,80
'Anton Ebdon','MATCH ODDS',1.83,1770.783127,20
'Anton Ebdon','MATCH ODDS',1.83,1770.783127,25
'Anton Ebdon','ASIAN HANDICAP',2.78,1973.996474,20
'Anton Ebdon','OVER / UNDER',2.85,1754.95232,20
'Jorge Aragundy','ASIAN HANDICAP',3.04,2063.454589,70
'Anton Ebdon','ASIAN HANDICAP',2.91,1988.5325,20
'Anton Ebdon','ASIAN HANDICAP',2.9,1961.367365,20
'Anton Ebdon','ASIAN HANDICAP',2.92,1956.75824,30
'Anton Ebdon','OVER / UNDER',2.79,1751.951926,25
'Anton Ebdon','OVER / UNDER',2.72,1749.969682,30
'Anton Ebdon','ASIAN HANDICAP',2.75,1951.483992,40
'Anton Ebdon','MATCH ODDS',1.91,1774.286217,30
'Anton Ebdon','ASIAN HANDICAP',2.88,1994.971435,25
'Anton Ebdon','MATCH ODDS',1.73,1765.4908,25
'Anton Ebdon','ASIAN HANDICAP',2.75,210.02033,25
'Anton Ebdon','MATCH ODDS',1.88,1771.073127,40
'Anton Ebdon','MATCH ODDS',1.71,1765.861844,50
'Anton Ebdon','MATCH ODDS',1.67,1763.553077,35
'Jorge Aragundy','ASIAN HANDICAP',2.94,2000.906942,70
'Anton Ebdon','MATCH ODDS',1.72,414.16655,30
'Anton Ebdon','MATCH ODDS',1.73,1765.4908,40
'Jorge Aragundy','ASIAN HANDICAP',2.89,1947.780274,80
'Anton Ebdon','MATCH ODDS',1.71,1765.861844,40
'Anton Ebdon','OVER / UNDER',2.97,1765.41493,25
'Jorge Aragundy','ASIAN HANDICAP',2.86,1936.70742,60
'Anton Ebdon','MATCH ODDS',1.86,1770.687528,40
'Anton Ebdon','OVER / UNDER',2.84,1771.695382,40
'Anton Ebdon','OVER / UNDER',2.83,1771.869012,30
'Anton Ebdon','ASIAN HANDICAP',2.8,1979.678222,40
'Anton Ebdon','ASIAN HANDICAP',2.79,1973.996474,40
'Jorge Aragundy','ASIAN HANDICAP',2.74,1475.024784,100
'Anton Ebdon','ASIAN HANDICAP',2.81,1137.985376,40
'Jorge Aragundy','ASIAN HANDICAP',2.81,1625.076007,80
'Anton Ebdon','ASIAN HANDICAP',2.7,1967.167503,50
'Anton Ebdon','MATCH ODDS',1.91,1774.286217,40
'Anton Ebdon','MATCH ODDS',2,1768.300972,30
'Jorge Aragundy','OVER / UNDER',2.94,1783.825116,80
'Anton Ebdon','OVER / UNDER',2.81,1769.122395,35
