@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'ASIAN HANDICAP','MATCH ODDS','OVER UNDER'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'ASIAN HANDICAP',2.12,1447.805426
'MATCH ODDS',1.75,1015.525921
'MATCH ODDS',1.9,1020.204966
'ASIAN HANDICAP',2.01,2003.810036
'MATCH ODDS',2.39,861.722198
'ASIAN HANDICAP',1.98,2065.558909
'ASIAN HANDICAP',2.09,1193.275392
'ASIAN HANDICAP',2.32,1086.227851
'ASIAN HANDICAP',2.9,987.25959
'ASIAN HANDICAP',2.01,1858.624826
'MATCH ODDS',1.95,700.977874
'ASIAN HANDICAP',1.91,1446.523178
'MATCH ODDS',1.98,860.261434
'ASIAN HANDICAP',2.07,715.747919
'ASIAN HANDICAP',2.07,958.437319
'OVER UNDER',1.85,1794.406493
'OVER UNDER',1.87,1050.741378
'ASIAN HANDICAP',1.86,732.571588
'ASIAN HANDICAP',1.88,733.260923
'ASIAN HANDICAP',2.29,1935.787933
'ASIAN HANDICAP',1.95,974.608763
'OVER UNDER',3.17,1725.751331
'MATCH ODDS',2.11,1735.334255
'ASIAN HANDICAP',1.94,1984.255039
'ASIAN HANDICAP',2.11,1940.075198
'OVER UNDER',1.8,982.66705
'ASIAN HANDICAP',2.05,1084.425208
'MATCH ODDS',1.78,1771.256018
'ASIAN HANDICAP',1.94,966.432679
'ASIAN HANDICAP',1.99,1071.044117
'ASIAN HANDICAP',2.12,984.199108
'MATCH ODDS',2,1018.083926
'ASIAN HANDICAP',1.96,974.57278
'ASIAN HANDICAP',2.12,2074.408157
'ASIAN HANDICAP',1.94,816.786068
'ASIAN HANDICAP',1.91,817.527742
'ASIAN HANDICAP',2.16,704.341173
'ASIAN HANDICAP',2.03,1303.222102
'ASIAN HANDICAP',1.8,1903.266928
'ASIAN HANDICAP',1.99,972.781056
'MATCH ODDS',2.1,1720.993939
'ASIAN HANDICAP',1.83,1937.796333
'MATCH ODDS',1.9,1774.310362
'MATCH ODDS',1.75,940.550953
'ASIAN HANDICAP',1.61,1079.513743
'ASIAN HANDICAP',1.99,1180.398411
'ASIAN HANDICAP',2.07,788.339748
'ASIAN HANDICAP',1.81,1888.498626
'ASIAN HANDICAP',1.93,726.942709
'MATCH ODDS',1.85,1605.593966
'ASIAN HANDICAP',2.03,1996.626279
'OVER UNDER',1.99,1801.828498
'ASIAN HANDICAP',2.25,953.366322
'ASIAN HANDICAP',2.1,908.348608
'ASIAN HANDICAP',2.02,653.143581
'ASIAN HANDICAP',2,781.572078
'ASIAN HANDICAP',1.99,1128.759303
'ASIAN HANDICAP',1.79,1897.58518
'ASIAN HANDICAP',1.78,1952.915227
'ASIAN HANDICAP',2.05,1219.920926
'ASIAN HANDICAP',2.35,794.290745
'ASIAN HANDICAP',1.99,1914.133214
'ASIAN HANDICAP',2.19,1256.374224
'OVER UNDER',2.04,1223.427038
'OVER UNDER',2,1399.681211
'ASIAN HANDICAP',1.91,657.350825
'ASIAN HANDICAP',1.79,1943.654902
'ASIAN HANDICAP',1.85,649.918035
'MATCH ODDS',2.1,1026.198265
'ASIAN HANDICAP',2.5,1854.892987
'ASIAN HANDICAP',2.04,1864.81487
'MATCH ODDS',2.55,566.934279
'ASIAN HANDICAP',2.13,728.563667
'MATCH ODDS',2,913.988887
'ASIAN HANDICAP',1.95,1963.111292
'OVER UNDER',2.09,1736.396398
'MATCH ODDS',2.3,1002.539676
'ASIAN HANDICAP',1.78,1249.784569
'MATCH ODDS',1.57,991.917141
'ASIAN HANDICAP',2.11,1419.332569
'MATCH ODDS',1.58,991.896381
'OVER UNDER',2.05,1736.600771
'ASIAN HANDICAP',2.13,1326.038721
'ASIAN HANDICAP',2,1367.363694
'MATCH ODDS',2,1033.651044
'ASIAN HANDICAP',1.9,1997.496398
'ASIAN HANDICAP',2.12,1251.267559
'ASIAN HANDICAP',2.16,1562.677511
'MATCH ODDS',2.5,1293.098413
'ASIAN HANDICAP',2.43,1081.866476
'ASIAN HANDICAP',2.05,1128.373915
'ASIAN HANDICAP',1.93,1980.289899
'MATCH ODDS',2.3,1167.744207
'ASIAN HANDICAP',1.98,1275.813452
'ASIAN HANDICAP',1.87,1167.837697
'MATCH ODDS',2,1030.612081
'MATCH ODDS',2.5,932.557628
'ASIAN HANDICAP',2,1102.257406
'MATCH ODDS',2.1,1036.834915
'ASIAN HANDICAP',2.44,1263.821852
'ASIAN HANDICAP',1.93,1100.098847
'ASIAN HANDICAP',2,1193.621053
'ASIAN HANDICAP',2.09,944.740233
'OVER UNDER',1.98,1587.207979
'ASIAN HANDICAP',2.79,1000.791551
'ASIAN HANDICAP',1.99,1958.164703
'ASIAN HANDICAP',2.12,1939.969918
'MATCH ODDS',1.72,870.164503
'ASIAN HANDICAP',2.03,736.930998
'OVER UNDER',1.98,1665.726158
'ASIAN HANDICAP',2.26,1374.880426
'ASIAN HANDICAP',2.1,1943.815669
'ASIAN HANDICAP',2.06,1129.677158
'ASIAN HANDICAP',1.75,1117.163509
'ASIAN HANDICAP',2.25,1250.862393
'ASIAN HANDICAP',2.13,1072.593019
'MATCH ODDS',2.5,888.680103
'ASIAN HANDICAP',1.83,1491.477289
'MATCH ODDS',10,1704.696271
'MATCH ODDS',4.7,1704.708848
'MATCH ODDS',4.13,1013.700571
'ASIAN HANDICAP',1.95,1179.813028
'ASIAN HANDICAP',2.15,1242.834062
'ASIAN HANDICAP',1.96,1211.957464
'ASIAN HANDICAP',1.85,1182.148987
'MATCH ODDS',3.8,1705.505182
'ASIAN HANDICAP',2.1,1204.900593
'ASIAN HANDICAP',1.9,1985.969368
'ASIAN HANDICAP',1.92,1965.849781
'ASIAN HANDICAP',2.12,1938.327253
'ASIAN HANDICAP',2.12,1960.462232
'ASIAN HANDICAP',1.81,1117.050795
'MATCH ODDS',3.29,839.766633
'ASIAN HANDICAP',2.02,2036.813762
'ASIAN HANDICAP',2.29,1950.440837
'ASIAN HANDICAP',2.29,1950.440837
'OVER UNDER',2.05,1727.086735
'ASIAN HANDICAP',2.1,1642.931315
'ASIAN HANDICAP',1.92,1214.008214
'MATCH ODDS',2.21,1753.409356
'ASIAN HANDICAP',2.12,1906.834644
'MATCH ODDS',2.17,1732.901455
'ASIAN HANDICAP',1.94,2008.084771
'ASIAN HANDICAP',2.53,1794.533578
'MATCH ODDS',2.23,1705.721117
'ASIAN HANDICAP',2.22,1318.345431
'MATCH ODDS',2.02,1736.812095
'ASIAN HANDICAP',1.89,915.952615
'ASIAN HANDICAP',2.02,1508.944491
'ASIAN HANDICAP',1.85,1436.9695
'ASIAN HANDICAP',2.25,1168.774302
'ASIAN HANDICAP',2.1,1199.623047
'OVER UNDER',2.16,1691.706487
'MATCH ODDS',2.05,1769.85585
'ASIAN HANDICAP',2.21,1213.502462
'MATCH ODDS',2.2,1025.296955
'MATCH ODDS',2.5,1023.951334
'OVER UNDER',1.85,1778.059302
'ASIAN HANDICAP',2,1110.950863
'OVER UNDER',1.86,1765.198983
'ASIAN HANDICAP',2.09,1723.646316
'ASIAN HANDICAP',2.02,658.200553
'ASIAN HANDICAP',1.96,1979.885334
'OVER UNDER',2.09,1760.996948
'ASIAN HANDICAP',2.04,632.871331
'OVER UNDER',2.12,1760.096923
'MATCH ODDS',2.11,1768.324738
'ASIAN HANDICAP',2.02,1965.896725
'ASIAN HANDICAP',2.06,1237.840938
'OVER UNDER',1.85,1617.042212
'ASIAN HANDICAP',2.25,1529.217723
'OVER UNDER',1.88,1743.382634
'ASIAN HANDICAP',1.67,1074.681327
'ASIAN HANDICAP',1.94,825.184179
'ASIAN HANDICAP',2.13,1169.063793
'ASIAN HANDICAP',2.34,1505.509408
'OVER UNDER',2.12,1735.830461
'ASIAN HANDICAP',2.07,1128.356479
'OVER UNDER',2.12,1760.096923
'MATCH ODDS',2.35,1751.445532
'ASIAN HANDICAP',2.01,1984.044452
'MATCH ODDS',3.25,758.302189
'ASIAN HANDICAP',2.04,1107.423345
'ASIAN HANDICAP',1.77,1227.627137
'MATCH ODDS',2.69,882.944131
'MATCH ODDS',2,1026.769588
'MATCH ODDS',2.3,1008.609282
'ASIAN HANDICAP',1.94,525.934204
'ASIAN HANDICAP',1.74,518.085617
'MATCH ODDS',1.94,583.488277
'ASIAN HANDICAP',2.48,621.070679
'ASIAN HANDICAP',2.3,715.589944
'ASIAN HANDICAP',1.88,706.907809
'ASIAN HANDICAP',1.95,1079.710648
'ASIAN HANDICAP',1.84,1970.376176
'ASIAN HANDICAP',1.79,1763.891331
'ASIAN HANDICAP',2.06,1944.428589
'OVER UNDER',2.02,1766.774889
'MATCH ODDS',1.67,1765.83173
'ASIAN HANDICAP',1.78,1410.596337
'MATCH ODDS',2.85,1708.19336
'OVER UNDER',1.91,1740.490681
'OVER UNDER',2.2,1338.850739
'ASIAN HANDICAP',2.04,1517.307431
'ASIAN HANDICAP',2.21,1923.987013
'ASIAN HANDICAP',2.19,1940.77092
'OVER UNDER',2.02,1760.331602
'ASIAN HANDICAP',2.28,1981.773186
'MATCH ODDS',3.3,1708.043341
'OVER UNDER',1.92,1590.146174
'ASIAN HANDICAP',1.93,1945.585783
'ASIAN HANDICAP',1.97,1238.412501
'ASIAN HANDICAP',2.34,1073.713305
'MATCH ODDS',1.88,1771.073127
'MATCH ODDS',2.14,938.232619
'OVER UNDER',1.99,1586.430823
'OVER UNDER',1.94,1700.973288
'ASIAN HANDICAP',1.98,1975.410418
'ASIAN HANDICAP',1.93,608.525784
'ASIAN HANDICAP',2.46,610.011846
'ASIAN HANDICAP',2.21,1923.987013
'ASIAN HANDICAP',1.85,534.409987
'OVER UNDER',2.53,1734.837578
'OVER UNDER',1.79,1737.482867
'OVER UNDER',1.93,1762.576806
'OVER UNDER',2.96,1549.689115
'ASIAN HANDICAP',2.02,1809.760964
'MATCH ODDS',1.77,1601.505995
'ASIAN HANDICAP',1.86,1293.432006
'OVER UNDER',3.85,1634.316021
'MATCH ODDS',4.5,1702.434156
'OVER UNDER',2.01,1757.611564
'ASIAN HANDICAP',1.59,1836.403437
'OVER UNDER',3.5,1667.027906
'OVER UNDER',1.93,1030.111957
'ASIAN HANDICAP',1.79,1675.382117
'OVER UNDER',1.96,1765.41493
'ASIAN HANDICAP',1.62,1878.413055
'ASIAN HANDICAP',1.98,1796.472869
'OVER UNDER',2.89,1329.083729
'OVER UNDER',2.22,1347.281733
'OVER UNDER',3.85,1634.316021
'OVER UNDER',1.86,1610.21267
'ASIAN HANDICAP',1.94,2051.071063
'ASIAN HANDICAP',2.14,1972.162454
'MATCH ODDS',1.95,1774.987331
'OVER UNDER',1.91,963.891402
'ASIAN HANDICAP',1.66,1850.285402
'MATCH ODDS',7.2,1679.841935
'MATCH ODDS',2.3,1753.101293
