Count,Game date,Sport,Competition,Bet,Return,Result,Pick,Score,Bookmaker,Odd,Stake,Profit,Tipster,CST
88,2015-10-28 17:00:00,SOC,Romania,Viitorul 2 vs CFR Cluj,0.00,LOST,Over 2,0:1,PINNACLE,1.8,5.00,-5.00,rooney27,2015-10-28 16:31:27
89,2015-10-26 18:30:00,SOC,Romania,Viitorul Constanta - Botosani,12.4,WIN,Over 2.5 (Match),3:1,PINNACLE,2.48,5.00,7.40,rooney27,2015-10-25 13:47:09
90,2015-10-24 17:30:00,SOC,Romania,ASA Targu Mures - Astra Giurgiu,0.00,LOST,Away +0.25 (Match),3:1,PINNACLE,1.79,5.00,-5.00,rooney27,2015-10-24 12:59:17
91,2015-10-19 17:30:00,SOC,Romania,CFR Cluj - Viitorul Constanta,8.6,WIN,Over 2 (Match),1-2,PINNACLE,1.72,5.00,3.60,rooney27,2015-10-19 16:00:17
92,2015-10-18 17:30:00,SOC,Romania,Petrolul Ploiesti - Steaua Bucuresti,0.00,LOST,Away -1 (Match),0:0,PINNACLE,2.7,1.00,-1.00,rooney27,2015-10-16 09:02:56
93,2015-10-18 17:30:00,SOC,Romania,Petrolul Ploiesti - Steaua Bucuresti,0.00,LOST,Away -0.5 (Match),0:0,PINNACLE,1.84,5.00,-5.00,rooney27,2015-10-16 09:01:23
94,2015-10-18 15:00:00,SOC,Romania,Concordia Chiajna - Astra Giurgiu,2.64,WIN,Away -0.75 (Match),0:2,PINNACLE,2.64,1.00,1.64,rooney27,2015-10-16 09:00:44
95,2015-10-18 15:00:00,SOC,Romania,Concordia Chiajna - Astra Giurgiu,9.55,WIN,Away -0.25 (Match),0:2,PINNACLE,1.91,5.00,4.55,rooney27,2015-10-16 08:59:56
96,2015-10-15 18:00:00,SOC,Romania,Steaua Bucuresti - ACS Poli Timisoara,0.5,LOST,Away +0.75 (Match),1:0,PINNACLE,2.7,1.00,-0.50,rooney27,2015-10-15 17:54:11
97,2015-10-15 15:15:00,SOC,Romania,Viitorul Constanta - Astra Giurgiu,10.2,WIN,Away 0 (Match),0:3,PINNACLE,2.04,5.00,5.20,rooney27,2015-10-15 15:07:33
98,2015-10-14 18:00:00,SOC,Romania,Dinamo Bucuresti - CFR Cluj,8.75,WIN,Home 0 (Match),2:0,PINNACLE,1.75,5.00,3.75,rooney27,2015-10-14 17:25:39
99,2015-10-04 15:30:00,SOC,Romania,FC Botosani - AS FCM Targu Mures,7.08,WIN,FC Botosani +0.25 (Asian Handicap-Full Time Excluding Overtime),1:1,SBOBET,1.83,5.00,2.08,rooney27,2015-10-04 15:24:50
100,2015-10-03 18:00:00,SOC,Romania,CSMS Iasi - Steaua Bucuresti,0.00,LOST,Under 2 (Match),1:2,PINNACLE,2,5.00,-5.00,rooney27,2015-10-03 14:48:12
101,2015-10-02 15:30:00,SOC,Romania,Voluntari - Concordia Chiajna,5,PUSH,Away 0 (Match),1:1,PINNACLE,1.97,5.00,0.00,rooney27,2015-09-30 14:33:46
102,2015-09-26 17:00:00,SOC,Romania,Viitorul Constanta - Petrolul Ploiesti,0.00,LOST,Over 2 (Match),1:0,PINNACLE,1.75,5.00,-5.00,rooney27,2015-09-26 14:48:50
103,2015-09-26 17:00:00,SOC,Romania,Viitorul Constanta - Petrolul Ploiesti,0.00,LOST,Over 2 (Match),1:0,PINNACLE,1.75,5.00,-5.00,rooney27,2015-09-26 14:48:03
104,2015-09-25 18:00:00,SOC,Romania,ASA Targu Mures - CFR Cluj,0.00,LOST,Over 1.75 (Match),0:0,PINNACLE,1.75,5.00,-5.00,rooney27,2015-09-25 17:45:27
105,2015-09-27 18:00:00,SOC,Romania,Steaua Bucuresti - Voluntari,9.2,WIN,Home -1.5 (Match),3:1,PINNACLE,1.84,5.00,4.20,rooney27,2015-09-24 13:40:41
106,2015-09-25 15:30:00,SOC,Romania,ACS Poli Timisoara - CSMS Iasi,2.5,LOST,Home -0.25 (Match),2:2,PINNACLE,1.87,5.00,-2.50,rooney27,2015-09-24 12:34:01
107,2015-09-20 15:30:00,SOC,Romania,Petrolul Ploiesti - CSU Craiova,0.00,LOST,Over 2 (Match),0:1,PINNACLE,1.81,5.00,-5.00,rooney27,2015-09-20 13:13:35
108,2015-09-20 15:30:00,SOC,Romania,Petrolul Ploiesti - CSU Craiova,8.65,WIN,Away +0.25 (Match),0:1,PINNACLE,1.73,5.00,3.65,rooney27,2015-09-20 13:11:39
109,2015-09-19 15:30:00,SOC,Romania,CSMS Iasi - Viitorul Constanta,7,WIN,Away +0.25 (Match),0:0,PINNACLE,1.8,5.00,2.00,rooney27,2015-09-19 15:10:12
110,2015-09-20 18:00:00,SOC,Romania,Botosani - Dinamo Bucuresti,5,PUSH,Over 2 (Match),1:1,PINNACLE,1.94,5.00,0.00,rooney27,2015-09-18 10:01:12
111,2015-09-14 18:00:00,SOC,Romania,Dinamo Bucuresti - CFR Cluj,0.00,LOST,Home -0.25 (Match),0:2,PINNACLE,2.05,5.00,-5.00,rooney27,2015-09-14 10:50:41
112,2015-09-12 15:30:00,SOC,Romania,Concordia Chiajna - Botosani,0.00,LOST,Home -0.5 (Match),0:0,PINNACLE,2.09,5.00,-5.00,rooney27,2015-09-11 14:49:07
113,2015-09-14 15:30:00,SOC,Romania,SC Viitorul Constanta - SC FC Voluntari SA,12.1,WIN,SC Viitorul Constanta -1 (Asian Handicap-Full Time Excluding Overtime),3:0,Bet365,2.42,5.00,7.10,rooney27,2015-09-10 14:11:10
114,2015-09-10 16:00:00,SOC,Romania,Viitorul Constanta - CSU Craiova,2.5,LOST,Home -0.25 (Match),0:0,PINNACLE,1.94,5.00,-2.50,rooney27,2015-09-10 07:49:43
115,2015-09-10 18:45:00,SOC,Romania,Pandurii Targu-Jiu - Dinamo Bucuresti,8.75,WIN,Away +0.5 (Match),0:2,PINNACLE,1.75,5.00,3.75,rooney27,2015-09-09 11:14:17
116,2015-09-09 13:30:00,SOC,Romania,Concordia Chiajna - Botosani,9.15,WIN,Over 2 (Match),3:0,PINNACLE,1.83,5.00,4.15,rooney27,2015-09-08 13:19:36
117,2015-09-09 13:30:00,SOC,Romania,Concordia Chiajna - Botosani,10.55,WIN,Home -0.25 (Match),3:0,PINNACLE,2.11,5.00,5.55,rooney27,2015-09-08 13:19:13
118,2015-08-31 18:00:00,SOC,Romania,CFR Cluj - Botosani,10.1,WIN,Home -0.5 (Match),3:1,PINNACLE,2.02,5.00,5.10,rooney27,2015-08-31 17:54:00
119,2015-08-30 18:00:00,SOC,Romania,Steaua Bucuresti - Viitorul Constanta,0.00,LOST,Over 2.25 (Match),1:0,PINNACLE,2,10.00,-10.00,rooney27,2015-08-27 12:02:07
120,2015-08-27 18:00:00,SOC,Europa League,AZ Alkmaar - Astra Giurgiu,0.00,LOST,Over 2.5 (Match),2:0,PINNACLE,1.79,5.00,-5.00,rooney27,2015-08-27 05:28:51
121,2015-08-27 18:00:00,SOC,Europa League,AZ Alkmaar Zaanstreek - Astra Giurgiu,0.00,LOST,Yes (Both Team To Score-Full Time Excluding Overtime),2:0,Bet365,1.83,5.00,-5.00,rooney27,2015-08-26 14:03:34
122,2015-08-28 15:30:00,SOC,Romania,Voluntari - CSU Craiova,8.55,WIN,Away 0 (Match),1:2,PINNACLE,1.71,5.00,3.55,rooney27,2015-08-25 17:17:05
123,2015-08-27 18:00:00,SOC,Europa League,Rosenborg BK - FC Steaua Bucuresti,9.75,WIN,FC Steaua Bucuresti +0.5 (Asian Handicap-Full Time Excluding Overtime),0:1,Bet365,1.95,5.00,4.75,rooney27,2015-08-25 08:59:19
124,2015-08-24 18:00:00,SOC,Romania,Concordia Chiajna - CFR Cluj,8.85,WIN,Over 2 (Match),2:1,PINNACLE,1.77,5.00,3.85,rooney27,2015-08-24 09:50:31
125,2015-08-22 15:30:00,SOC,Romania,Botosani - Pandurii Targu-Jiu,5,PUSH,Over 2 (Match),0:2,PINNACLE,1.81,5.00,0.00,rooney27,2015-08-21 19:31:14
126,2015-08-21 18:00:00,SOC,Romania,Viitorul Constanta - ACS Poli Timisoara,9.35,WIN,Home -0.25 (Match),4:0,PINNACLE,1.87,5.00,4.35,rooney27,2015-08-21 04:15:49
127,2015-08-17 18:00:00,SOC,Romania,Pandurii Targu Jiu - CFR Cluj,2.5,LOST,Home -0.25 (Match),1:1,PINNACLE,1.98,5.00,-2.50,rooney27,2015-08-17 16:24:18
128,2015-08-12 16:30:00,SOC,Romania,ASA Targu Mures - ACS Poli Timisoara,0.00,LOST,Home -0.5 (Match),0-0,PINNACLE,1.77,5.00,-5.00,rooney27,2015-08-12 15:57:34
